road_type,chinese_name,description,classify,speed,w_rank
motorway,国家级/省级高速公路,专供机动车分方向、分车道通行的，全封闭或半封闭，出入口受控制的公路，通常是双向4车道及以上的收费公路。,高架、快速路,100,1
trunk,国道/城市快速路,国家公路系统中重要性仅次于高速公路的公路，以及城市道路系统中的快速路。,高架、快速路,80,1
primary,省道/主干道,连接主要区域或城镇的道路，以及城市内较为重要的市政道路。,城市主干道,60,2
secondary,县道/次干道,连接主要区域或村镇的道路，但不及省道。城市道路系统中的次干道也用此值表示。,城市次干道,50,3
tertiary,乡道/支路,一般为连接村与村的道路，或市政道路中比较狭窄的双向、单向2车道道路。,城市支路,40,4
unclassified,小型道路,最普通的道路，通常很窄，如中国大陆的村道。,村道,20,4
residential,居住区道路,通常为小区内部道路，村中的道路或单向狭窄单车道的市政道路，路旁一般伴有住房。,内部道路,5,4
motorway_link,国家级/省级高速公路_连接路,其他公路通往高速公路的连接道路，高速公路之间的连接匝道。,高架、快速路,80,1
trunk_link,国道/城市快速路_连接路,连接国道/快速路与其他国道/快速路或更低级道路的连接路。,高架、快速路,60,1
primary_link,省道/主干道_连接路,连接省道/主干道与其他省道/主干道或更低级道路的连接路。,城市主干道,40,2
secondary_link,县道/次干道_连接路,连接县道/次干道与其他县道/次干道或更低级道路的连接路。,城市次干道,30,3
tertiary_link,乡道/支路_连接路,连接乡道/支路与其他乡道/支路或更低级道路的连接路。,城市支路,20,4
living_street,生活性街道,行人优先，儿童可以在街上玩，最高限速较低的街道，常为5km/h。,内部道路,5,4
service,服务性道路,通常为通往建筑物、海滩、营地、工厂、商业园等的道路，不常被称为胡同。,内部道路,10,4
pedestrian,步行街,这些道路可能仅允许在一天中非常有限的时间内使用机动车或不准机动车或单车通行。,人行道,5,10
track,小径,指通常未铺设路面，主要用于农业、林业、建筑、生产而非居民步行出行的道路，如农用机耕道、林区采伐道、电力工程临时道路等。,郊区乡村道路,5,100
bus_guideway,有轨公交专用道,其他交通工具不可驶入。,公交车道,0,10
escape,避险车道,包括上坡避险车道，水平避险车道或砂堆型避险车道。通常设置于公路的长陡下坡路段行车道外侧，供刹车失灵的车辆驶出公路正线并安全减速。,避险车道,0,100
raceway,赛道,汽车比赛专用道。,赛道,0,100
road,未知分类的道路,此标签为临时标签，当找到道路的分类后须以其他值取代。,未分类,10,4
busway,快速公交专用道,快速公交专用道。,公交车道,0,10
footway,步行道路,行人为主或行人专用的道路。包括人行道和碎石小路。,人行道,5,10
bridleway,马道,供马匹奔走的道路。,内部道路,10,4
steps,阶梯,在人行道的楼梯(阶梯)。,人行道,5,10
corridor,建筑内走廊,建筑内走廊。,内部道路,5,10
path,小道,一个非特定的或共享使用的路径。,内部道路,5,4
sidewalk,步行道路,行人为主或行人专用的道路。包括人行道和碎石小路。,人行道,5,10
crossing,斑马线,人行过街通道，一般称作斑马线、人行横道。,人行道,5,10
cycleway,非机动车道,自行车为主或自行车专用道路。,非机动车道,15,10
proposed,规划道路,规划道路。,未开通道路,0,100
construction,在建道路,在建道路。,未开通道路,0,100
